,ChampionName,ChampionLevel,Lane,Kills,Deaths,Assists,Gold_Earned,Total_Minions_Killed,Total_damages_to_champs,Win/Lose,TeamBaronKills,FirstBloodAssist,FirstBloodKill,FirstTowerAssist,FirstTowerKill,InhibitorKills,InhibitorTakedowns,InhibitorsLost,TurretPlatesTaken,TotalDamageDealtToChampions_Percentage,Date
0,MasterYi,16,JUNGLE,11,10,7,13722,46,34290,False,0,False,False,False,False,0,0,1,3,32.72,3/23/2022
1,Chogath,15,TOP,8,4,6,12836,150,23678,False,0,False,False,False,True,0,0,1,1,27.79,3/23/2022
2,Trundle,11,JUNGLE,4,6,2,6501,5,6784,False,0,False,False,False,False,0,0,0,0,17.73,3/22/2022
3,Trundle,13,JUNGLE,1,9,5,7035,22,10184,False,0,False,False,False,False,0,0,2,0,15.06,3/22/2022
4,Trundle,18,JUNGLE,3,12,9,12046,23,19299,True,2,False,False,False,False,1,2,0,0,10.93,3/22/2022
5,Trundle,18,JUNGLE,10,6,20,15512,36,26911,True,1,True,False,False,True,1,1,2,4,16.82,3/21/2022
6,Trundle,14,JUNGLE,3,8,12,9360,5,9511,True,0,False,False,False,True,0,0,0,2,13.1,3/21/2022
7,Trundle,15,JUNGLE,5,4,8,12223,39,17072,True,0,False,False,False,True,0,0,0,4,15.23,3/21/2022
8,Warwick,13,JUNGLE,6,8,6,9552,25,11803,False,0,False,False,False,False,0,0,3,0,20.05,3/20/2022
9,Warwick,16,JUNGLE,4,12,9,11008,24,14451,False,1,False,False,False,False,0,0,2,0,13.51,3/20/2022
10,Warwick,16,JUNGLE,11,4,9,13179,37,17190,True,1,False,False,False,False,1,2,0,0,18.1,3/20/2022
11,Warwick,16,JUNGLE,14,8,15,14383,38,22152,False,1,False,False,False,False,0,0,3,0,22.63,3/19/2022
12,Warwick,18,JUNGLE,12,15,13,16774,34,17261,True,1,True,False,False,False,0,1,2,0,12.16,3/19/2022
13,Shyvana,16,JUNGLE,2,4,10,10781,35,9004,True,1,False,False,False,False,0,1,0,2,8.49,3/19/2022
14,Warwick,18,JUNGLE,15,9,15,17184,41,31977,True,0,False,True,True,False,1,2,1,5,19.81,3/18/2022
15,MasterYi,16,JUNGLE,6,10,8,11535,9,13603,True,2,False,False,False,False,1,2,0,0,9.47,3/17/2022
16,Warwick,17,JUNGLE,8,7,8,13106,44,18956,True,2,True,False,False,False,0,0,0,2,13.52,3/17/2022
17,Warwick,14,JUNGLE,3,8,6,9838,12,11364,True,1,False,True,False,False,1,3,0,0,14.87,3/17/2022
18,Warwick,18,JUNGLE,10,9,15,14249,51,25535,True,1,False,False,False,False,0,0,4,3,14.47,3/17/2022
19,Chogath,3,NONE,0,0,0,967,12,519,True,0,False,False,False,False,0,0,0,0,35.48,3/17/2022
20,LeeSin,3,NONE,0,2,0,2855,0,824,False,0,False,False,False,False,0,0,1,0,3.52,3/17/2022
21,LeeSin,9,JUNGLE,1,5,4,5254,9,7954,False,0,False,False,False,False,0,0,1,0,17.66,3/17/2022
22,LeeSin,9,JUNGLE,3,6,3,6163,10,4915,True,0,False,False,False,False,0,0,0,0,10.98,3/17/2022
23,Graves,8,NONE,0,7,0,4216,13,3537,False,0,False,False,False,False,0,0,1,0,11.84,3/17/2022
24,Graves,13,JUNGLE,3,10,3,9525,35,19586,False,0,False,False,False,False,0,0,3,0,24.87,3/16/2022
25,Graves,9,NONE,3,3,1,5919,2,2650,True,0,False,True,False,True,0,0,0,4,6.1,3/16/2022
26,Chogath,13,TOP,4,9,1,9092,106,5899,False,0,False,False,False,False,0,0,3,0,14.01,3/16/2022
27,Chogath,11,TOP,2,6,0,5667,78,5970,False,0,False,False,False,False,0,0,2,0,19.74,3/16/2022
28,MasterYi,16,JUNGLE,6,13,12,13798,31,18878,False,0,False,False,False,False,0,0,2,2,19.28,3/16/2022
29,Chogath,13,TOP,3,5,2,8885,107,8692,False,0,False,False,False,False,0,0,1,0,13.81,3/16/2022
30,Zac,9,JUNGLE,2,8,4,5385,12,5594,False,0,False,False,False,False,0,0,1,0,13.95,3/16/2022
31,Zac,13,JUNGLE,4,0,7,8002,15,5699,True,0,False,False,False,False,0,0,0,0,10.55,3/16/2022
32,Shyvana,18,JUNGLE,2,13,13,14260,47,26904,False,3,False,False,False,False,1,2,2,3,16.58,3/16/2022
33,FiddleSticks,14,JUNGLE,2,6,10,9171,18,9979,False,0,False,False,False,False,0,0,3,0,11.49,3/15/2022
34,Shyvana,10,JUNGLE,2,2,2,6636,8,5235,True,0,False,False,False,False,0,3,0,3,11.49,3/15/2022
35,Shyvana,16,JUNGLE,10,6,11,13266,49,16148,True,0,True,False,False,False,0,1,0,0,16.5,3/15/2022
36,Shyvana,11,NONE,6,6,3,7214,7,9816,False,0,False,False,False,False,0,0,0,0,20.72,3/15/2022
37,Shyvana,12,JUNGLE,3,4,6,8534,13,7293,True,0,False,False,False,False,0,0,0,3,13.15,3/15/2022
38,Shyvana,11,NONE,9,3,2,9234,13,8990,True,0,False,True,False,False,0,0,0,0,20.18,3/15/2022
39,Shyvana,13,JUNGLE,3,7,9,8367,13,12956,False,0,False,False,False,False,0,0,3,2,15.71,3/15/2022
40,Shyvana,17,JUNGLE,9,13,11,14763,23,35805,False,0,False,False,False,False,0,0,2,0,21.02,3/14/2022
41,Shyvana,16,JUNGLE,8,10,11,11783,21,22764,True,0,False,False,False,False,0,1,0,4,19.77,3/13/2022
42,MasterYi,14,JUNGLE,9,4,5,10149,18,12780,True,0,False,False,False,True,0,1,0,3,17.27,3/13/2022
43,MasterYi,12,JUNGLE,2,10,5,8059,22,9209,False,0,False,False,False,True,0,0,2,2,13.89,3/13/2022
44,MasterYi,12,JUNGLE,4,6,2,8372,15,8591,False,0,False,False,False,False,0,0,1,2,19.85,3/13/2022
45,MasterYi,15,JUNGLE,7,6,2,12508,42,13785,False,0,False,False,False,True,0,0,0,3,17.53,3/13/2022
46,MasterYi,11,NONE,6,5,4,8299,15,4715,True,0,True,False,False,False,0,0,0,0,9.46,3/13/2022
47,MasterYi,10,TOP,6,11,3,7023,20,9435,False,0,False,False,False,False,0,0,2,0,21.1,3/13/2022
48,MasterYi,11,JUNGLE,2,7,5,7121,15,6703,False,0,False,False,False,False,0,0,1,0,11.6,3/13/2022
49,Veigar,13,MIDDLE,4,4,5,8791,122,12308,True,0,False,False,False,False,0,0,0,1,17.95,3/13/2022
50,Karthus,12,JUNGLE,3,5,10,7613,11,9161,True,0,False,False,False,False,0,0,0,0,13.29,3/13/2022
51,Zac,15,JUNGLE,2,9,9,9927,35,10906,True,2,False,False,False,False,2,2,2,1,8.23,3/13/2022
52,Urgot,18,TOP,7,8,8,13382,176,24082,True,2,False,False,False,False,0,1,0,1,17.38,3/13/2022
53,Zac,12,JUNGLE,1,6,8,7632,13,8265,True,0,False,False,False,False,1,1,0,0,12.71,3/12/2022
54,Nasus,16,TOP,4,2,3,10648,157,10629,True,1,False,False,False,False,0,0,0,2,11.52,3/12/2022
55,Ornn,16,TOP,3,11,15,10158,135,22950,False,1,False,False,False,False,0,0,1,2,19.54,3/12/2022
56,Illaoi,15,JUNGLE,4,6,10,9282,140,18660,True,1,True,False,False,True,1,1,0,1,25.04,3/12/2022
57,Tristana,9,BOTTOM,1,8,1,5514,86,5794,False,0,False,False,False,False,0,0,0,0,19.32,3/12/2022
58,Zac,14,JUNGLE,1,5,8,8805,20,10450,True,0,False,False,False,False,1,1,0,0,12.17,3/12/2022
59,Zac,12,JUNGLE,7,4,12,8809,17,11340,True,0,False,False,False,False,1,1,0,0,16.66,3/12/2022
60,Zac,13,JUNGLE,9,7,5,10966,24,11651,False,0,False,False,False,False,0,0,3,0,15.33,3/12/2022
61,Sion,14,TOP,4,7,0,10131,137,15832,False,0,False,False,False,True,0,0,2,1,30.39,3/12/2022
62,Sion,14,TOP,2,6,0,8318,135,6413,False,0,False,False,False,False,0,0,2,1,12.66,3/12/2022
63,Sion,15,TOP,5,5,3,9493,129,11951,True,1,False,False,False,False,0,1,0,4,14.41,3/11/2022
64,Hecarim,13,JUNGLE,4,11,11,9693,22,14237,False,0,True,False,False,False,0,0,1,0,18.63,3/11/2022
65,Hecarim,10,NONE,3,5,3,6705,12,9972,True,0,False,False,False,False,0,0,0,0,20.83,3/11/2022
66,Hecarim,16,JUNGLE,3,6,17,12162,35,18909,True,1,False,False,False,False,0,1,0,1,12.35,3/11/2022
67,Jayce,14,TOP,3,13,3,8921,134,17944,False,0,False,False,False,False,0,0,2,1,20.45,3/11/2022
68,Nautilus,16,BOTTOM,0,11,20,9840,35,12070,True,2,False,False,False,False,0,0,1,0,7.59,3/11/2022
69,Morgana,11,BOTTOM,1,12,7,5902,17,8087,False,0,False,True,False,False,0,0,2,0,11.9,3/11/2022
70,Nautilus,15,BOTTOM,5,8,29,12172,39,13936,True,0,False,False,False,False,0,2,0,2,10.35,3/11/2022
71,Karthus,17,JUNGLE,11,12,13,15956,78,39032,False,0,False,False,False,False,0,0,2,0,31.08,3/11/2022
72,Hecarim,12,JUNGLE,3,7,3,7203,17,7107,False,0,False,False,False,False,0,0,2,0,12.77,3/11/2022
73,Ivern,8,NONE,1,6,4,4376,1,3372,False,0,False,False,False,False,0,0,0,0,18.31,3/11/2022
74,Graves,7,NONE,0,2,1,3331,3,3219,False,0,False,False,False,False,0,0,0,0,16.32,3/11/2022
75,Hecarim,11,JUNGLE,2,7,1,6362,24,7056,False,0,False,False,False,False,0,0,3,0,19.62,3/11/2022
76,Karthus,12,JUNGLE,9,13,2,9930,41,24330,False,0,False,False,False,False,0,0,3,0,35.42,3/10/2022
77,Graves,15,JUNGLE,7,7,8,11416,17,15048,True,1,False,False,False,False,0,0,0,0,13.87,3/10/2022
78,Graves,9,NONE,2,1,6,5299,7,5124,True,0,True,False,False,False,0,0,0,0,15.85,3/10/2022
79,Graves,3,NONE,0,0,0,1067,0,0,True,0,False,False,False,False,0,0,0,0,0.0,3/10/2022
80,Graves,12,JUNGLE,2,9,8,7530,14,9560,False,0,False,False,False,False,0,0,1,0,12.1,3/10/2022
81,Karthus,13,JUNGLE,9,6,11,11152,29,18818,True,0,False,False,False,False,0,2,0,0,21.63,3/10/2022
82,Amumu,12,JUNGLE,5,8,8,8366,24,9400,False,0,False,False,False,False,0,0,1,0,18.02,3/10/2022
83,Ivern,11,JUNGLE,4,4,7,6984,2,8467,True,0,False,False,False,False,0,0,0,0,17.92,3/9/2022
84,Karthus,16,JUNGLE,15,7,19,15880,34,40542,True,0,True,False,False,False,0,1,0,0,37.21,3/9/2022
85,Karthus,14,JUNGLE,6,10,9,10660,20,24082,False,0,False,False,False,False,0,0,1,0,28.07,3/9/2022
86,Hecarim,11,JUNGLE,2,11,5,6742,15,5579,False,0,False,False,False,False,0,0,1,0,11.88,3/9/2022
87,Rammus,14,JUNGLE,5,5,12,9846,9,15189,True,1,False,False,False,False,0,0,0,0,18.91,3/8/2022
88,Karthus,18,JUNGLE,16,14,22,18421,38,58043,True,1,True,False,False,False,0,0,0,0,37.77,3/8/2022
89,Amumu,16,JUNGLE,6,7,13,12420,18,16574,True,2,False,False,False,False,0,1,0,0,16.9,3/8/2022
90,Karthus,15,JUNGLE,4,5,11,10572,18,16950,True,0,False,False,False,False,0,0,0,0,15.28,3/8/2022
91,Hecarim,17,JUNGLE,13,10,6,15092,25,24719,False,0,False,False,False,False,0,0,2,0,18.08,3/8/2022
92,Hecarim,11,JUNGLE,3,9,5,6971,20,10757,False,0,False,False,False,False,0,0,3,0,19.88,3/8/2022
93,Hecarim,15,JUNGLE,4,6,17,11487,35,21040,True,1,True,False,False,False,0,0,1,1,17.54,3/8/2022
94,Hecarim,16,JUNGLE,5,12,9,11871,46,9512,True,0,False,False,False,True,0,1,1,1,10.34,3/8/2022
95,Amumu,18,JUNGLE,12,15,28,17358,53,24633,False,1,False,False,False,False,0,0,2,0,14.7,3/8/2022
96,Morgana,14,BOTTOM,2,10,18,9032,25,12239,True,1,False,False,False,False,0,1,0,0,9.95,3/8/2022
97,Hecarim,18,JUNGLE,9,13,22,14328,26,30051,True,1,False,False,False,False,0,0,2,0,17.08,3/8/2022
98,Amumu,13,JUNGLE,9,5,14,10213,19,19532,True,1,False,False,False,False,0,0,0,0,25.92,3/7/2022
99,Hecarim,3,NONE,0,0,0,1120,0,0,True,0,False,False,False,False,0,0,0,0,0.0,3/7/2022
